article_id,created_at,likes_counts,region,content,author_name,author_gender,author_address,author_avatar
5030420561531428,2024-05-05 00:58:45,0,广东,华为神一样的存在,以古--鉴今,m,其他,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/008DNVQ1ly8hpdyvbsr3ej30u00u0q8r.jpg?KID=imgbed,tva&Expires=1714858299&ssig=2wFe5cWMcw"
5030420561531428,2024-05-05 00:57:48,0,浙江,佩服雷总,Angel小橘子,f,北京 朝阳区,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/005HpqRAly8glnm3zhxa9j30u00u00xg.jpg?KID=imgbed,tva&Expires=1714858299&ssig=miS0zxRuNl"
5030420561531428,2024-05-05 00:57:29,0,广东,[打call],二十三胡玉祥,m,广东,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/008pIefqly8hp80b7v6a8j30u00u0jtx.jpg?KID=imgbed,tva&Expires=1714858299&ssig=ki%2FMvFRsJ3"
5030420561531428,2024-05-05 00:56:43,0,湖北,雷总牛批[打call][打call][打call],一路向北wyf,m,湖北 武汉,"https://tvax2.sinaimg.cn/crop.0.0.1024.1024.180/0084iTb7ly8h2z27vita9j30sg0sgab6.jpg?KID=imgbed,tva&Expires=1714858299&ssig=irfKPB66b6"
5030420561531428,2024-05-05 00:56:14,0,广东,您的话一直能够带给我激励[热卖],Start小黄,m,广东 韶关,"https://tvax2.sinaimg.cn/crop.0.0.1002.1002.180/006VqCZdly8gfol8hc8cbj30ru0rumzk.jpg?KID=imgbed,tva&Expires=1714858299&ssig=8rxMJelMS1"
5030420561531428,2024-05-05 00:55:17,0,江苏,真诚，热爱！,蹇易晨曦,m,江苏 常州,"https://tvax4.sinaimg.cn/crop.0.0.700.700.180/005zb98yly8hdyagsvhdnj30jg0jgta1.jpg?KID=imgbed,tva&Expires=1714858299&ssig=ZTIAICERB8"
5030420561531428,2024-05-05 00:50:30,1,新疆,雷总 节日快乐哦[打call],TUY脸贴脸,f,浙江 杭州,"https://tvax3.sinaimg.cn/crop.0.0.996.996.180/005LAvTAly8ftr5wl4takj30ro0road0.jpg?KID=imgbed,tva&Expires=1714858299&ssig=mjatXwvaeb"
5030420561531428,2024-05-05 00:50:15,0,广西,@angel_朗朗: 《九龙城寨之围城》真的特别好看！！[鼓掌][鼓掌],angel_朗朗,f,广西,"https://tvax1.sinaimg.cn/default/images/default_avatar_female_180.gif?KID=imgbed,tva&Expires=1714858299&ssig=HlO9YiU6vA"
5030420561531428,2024-05-05 00:49:25,0,广东,概率论，从不确定性中寻找确定性，一个人一直深耕一个领域，提高成功率[doge],再去买点猪饲料,m,广东,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/0079znnfly8h9pf4j31gvj30u00u0tbo.jpg?KID=imgbed,tva&Expires=1714858299&ssig=POrVmYjQQ7"
5030420561531428,2024-05-05 00:48:48,0,山西,永远热血,山楂红了-2024,f,浙江 杭州,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/0062txVQly8h9va9n2iosj30u00u0q4i.jpg?KID=imgbed,tva&Expires=1714858299&ssig=USibAGOawj"
5030420561531428,2024-05-05 00:47:11,0,四川,谢谢雷总的鼓励[春游家族],是金子总是会花光的啊,m,北京,"https://tvax4.sinaimg.cn/crop.0.0.750.750.180/008x3dDyly8hoc5r4h4lvj30ku0kugmn.jpg?KID=imgbed,tva&Expires=1714858299&ssig=DENZysxLCv"
5030420561531428,2024-05-05 00:42:31,1,广西,军总，su7在车外都能喊小爱开车门，开车上路不怕遇到路狂证的吗？,寒冬区块链,f,其他,"https://tvax3.sinaimg.cn/crop.0.0.782.782.180/008vGAFlly8hle4b73a0xj30lq0lq0tr.jpg?KID=imgbed,tva&Expires=1714858299&ssig=KylrJNAt%2FQ"
5030420561531428,2024-05-05 00:40:08,0,广东,我们与雷总同频共振,Pirastic,m,其他,"https://tvax3.sinaimg.cn/crop.0.0.996.996.180/007EhQgrly8gco1yhksfcj30ro0rogpg.jpg?KID=imgbed,tva&Expires=1714858299&ssig=rFIyqtRE0E"
5030420561531428,2024-05-05 00:39:29,0,北京,雷总，听了您的演讲，我灰常激动💗您位高权重，已成为党和国家倚重的中坚力量，您的一举一动，都众矢之的，成为舆论的风口浪尖，我们希望您没有半点闪失，不要左右摇摆，更不要动摇思想，所有过往皆为阶梯，记得去年暑假您演讲的主题就是”成长”，说的就是人因坚持梦想而🉐到成长的事[鼓掌][鼓掌],编辑谢蓉,f,北京,"https://tvax2.sinaimg.cn/crop.0.0.332.332.180/007l3jK7ly8hmxwkbr9dtj30980980so.jpg?KID=imgbed,tva&Expires=1714858299&ssig=62%2FIyVDCQz"
5030420561531428,2024-05-05 00:37:49,0,四川,"还有青年人的精神，敢想，敢做，敢拼, 敢闯[赞]",庄青zhuangqing,m,四川 成都,"https://tva2.sinaimg.cn/crop.0.0.180.180.180/5459c4edjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1714858299&ssig=0gwXd7%2B4Om"
5030420561531428,2024-05-05 00:37:35,0,四川,真的好优秀啊[心],小S的快乐生活,f,四川 成都,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/9ae1d3ccly8hpa6bdfxolj20u00u0di1.jpg?KID=imgbed,tva&Expires=1714858299&ssig=v9dATZMQ%2BW"
5030420561531428,2024-05-05 00:36:39,0,北京,转发微博,咕噜咕噜Miao3781,m,北京 通州区,"https://tvax1.sinaimg.cn/crop.0.0.1002.1002.180/007ecYFply8g2zyl39ri2j30ru0ruwg5.jpg?KID=imgbed,tva&Expires=1714858299&ssig=SQEmezGovg"
5030420561531428,2024-05-05 00:34:52,0,湖北,[打call],Yuanzx1230,m,湖北 武汉,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/69a9c332ly8hfjgw2ez3tj20u00u0t9w.jpg?KID=imgbed,tva&Expires=1714858300&ssig=JkoSAURumQ"
5030420561531428,2024-05-05 00:34:28,0,广东,对未来的走向要有预见性，对于所走的每一步有危机感，先有规划再有执行，可能路途会偏移，但只要每天都坚持的按照规划走好每一步，始终会到达梦想的灯塔处[拳头],隔壁灬王先生丶,m,其他,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/005SZqM5ly8hoin78do2pj30u00u0421.jpg?KID=imgbed,tva&Expires=1714858300&ssig=OkJ%2BhXv%2B%2Fy"
5030420561531428,2024-05-05 00:33:36,0,湖南,雷总，晚安！[心],想开心了啊,f,其他,"https://tvax2.sinaimg.cn/crop.0.0.720.720.180/0074sBjIly8hmvojn7957j30k00k0mzb.jpg?KID=imgbed,tva&Expires=1714858300&ssig=JxmaVfozWy"
5030420561531428,2024-05-05 00:30:31,0,浙江,五四青年节快乐[作揖][作揖][心][心],战胜-焊锡烟,m,其他,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/008BMGx3ly8hkc0weym5tj30u00u0abh.jpg?KID=imgbed,tva&Expires=1714858300&ssig=hH4GAmQaW9"
5030420561531428,2024-05-05 00:29:20,0,宁夏,保持热爱，敢想敢干。,小弋哥,m,宁夏,"https://tvax2.sinaimg.cn/crop.0.0.512.512.180/005Pp2Mgly8gdh0t16o46j30e80e8dfv.jpg?KID=imgbed,tva&Expires=1714858300&ssig=59xUD0HfBX"
